,hsk,hex,hanzi,pinyin,translation
0,1,['0x7231'],爱,ài,"to love, affection, to be fond of, to like,"
1,1,['0x516b'],八,bā,"eight, 8,"
2,1,"['0x7238', '0x7238']",爸爸,bà ba,"(informal) father, CL:個|个,位[wèi],"
3,1,"['0x676f', '0x5b50']",杯子,bēi zi,"cup, glass, CL:個|个,支,枝[zhī],"
4,1,"['0x5317', '0x4eac']",北京,Běi jīng,"Beijing, capital of People's Republic of China, Peking, PRC government,"
5,1,['0x672c'],本,běn,"roots or stems of plants, origin, source, this, the current, root, foundation, basis, classifier for books, periodicals, files etc, originally,"
6,1,"['0x4e0d', '0x5ba2', '0x6c14']",不客气,bù kè qi,"you're welcome, impolite, rude, blunt, don't mention it,"
7,1,['0x4e0d'],不,bù,"(negative prefix), not, no,"
8,1,['0x83dc'],菜,cài,"dish (type of food), vegetables, vegetable, cuisine, CL:盤|盘,道[dào],"
9,1,['0x8336'],茶,chá,"tea, tea plant, CL:杯,壺|壶[hú],"
10,1,['0x5403'],吃,chī,"to eat, to consume, to eat at (a cafeteria etc), to eradicate, to destroy, to absorb, to suffer,"
11,1,"['0x51fa', '0x79df', '0x8f66']",出租车,chū zū chē,"taxi, (Taiwan) rental car,"
12,1,"['0x6253', '0x7535', '0x8bdd']",打电话,dǎ diàn huà,"to make a telephone call,"
13,1,['0x5927'],大,dà,"big, huge, large, major, great, wide, deep, oldest, eldest,"
14,1,['0x7684'],的,de,"of, ~'s (possessive particle), (used after an attribute), (used to form a nominal expression), (used at the end of a declarative sentence for emphasis),"
15,1,['0x70b9'],点,diǎn,"point, dot, drop, speck, o'clock, point (in space or time), to draw a dot, to check on a list, to choose, to order (food in a restaurant), to touch briefly, to hint, to light, to ignite, to pour a liquid drop by drop, (old) one fifth of a two-hour watch 更[gēng], dot stroke in Chinese characters, classifier for items,"
16,1,"['0x7535', '0x8111']",电脑,diàn nǎo,"computer, CL:臺|台[tái],"
17,1,"['0x7535', '0x89c6']",电视,diàn shì,"television, TV, CL:臺|台,個|个[gè],"
18,1,"['0x7535', '0x5f71']",电影,diàn yǐng,"movie, film, CL:部,片,幕,場|场[chǎng],"
19,1,"['0x4e1c', '0x897f']",东西,dōng xi,"thing, stuff, person, CL:個|个,件[jiàn],"
20,1,['0x90fd'],都,dōu,"all, both, entirely, (used for emphasis) even, already, (not) at all,"
21,1,['0x8bfb'],读,dú,"to read, to study, reading of word (i.e. pronunciation), similar to 拼音[pīn yīn],"
22,1,"['0x5bf9', '0x4e0d', '0x8d77']",对不起,duì bu qǐ,"unworthy, to let down, I'm sorry, excuse me, pardon me, if you please, sorry? (please repeat),"
23,1,['0x591a'],多,duō,"many, much, a lot of, numerous, more, in excess, how (to what extent), multi-, Taiwan pr.  when it means ""how"","
24,1,"['0x591a', '0x5c11']",多少,duō shao,"how much, how many, which (number), as much as,"
25,1,"['0x513f', '0x5b50']",儿子,ér zi,"son,"
26,1,['0x4e8c'],二,èr,"two, 2, stupid (Beijing dialect),"
27,1,"['0x996d', '0x9986']",饭馆,fàn guǎn,"restaurant, CL:家[jiā],"
28,1,"['0x98de', '0x673a']",飞机,fēi jī,"airplane, CL:架[jià],"
29,1,"['0x5206', '0x949f']",分钟,fēn zhōng,"minute,"
30,1,"['0x9ad8', '0x5174']",高兴,gāo xìng,"happy, glad, willing (to do sth), in a cheerful mood,"
31,1,['0x4e2a'],个,gè,"variant of 個|个[gè],"
32,1,"['0x5de5', '0x4f5c']",工作,gōng zuò,"to work, (of a machine) to operate, job, work, task, CL:個|个,份,項|项[xiàng],"
33,1,['0x72d7'],狗,gǒu,"dog, CL:隻|只,條|条[tiáo],"
34,1,"['0x6c49', '0x8bed']",汉语,Hàn yǔ,"Chinese language, CL:門|门[mén],"
35,1,['0x597d'],好,hǎo,"good, well, proper, good to, easy to, very, so, (suffix indicating completion or readiness),"
36,1,['0x559d'],喝,hē,"to drink, My goodness!,"
37,1,['0x548c'],和,hé,"and, together with, with, sum, union, peace, harmony, Japanese related, Taiwan pr. [hàn],"
38,1,['0x5f88'],很,hěn,"(adverb of degree), quite, very, awfully,"
39,1,"['0x540e', '0x9762']",后面,hòu mian,"rear, back, behind, later, afterwards,"
40,1,['0x56de'],回,huí,"to curve, to return, to revolve,"
